Campaign,Ad Group,Keyword,Match Type
Core – Removal/Arborist,Tree Removal,tree removal wellington,Phrase
Core – Removal/Arborist,Tree Removal,tree removal wellington,Exact
Core – Removal/Arborist,Tree Removal,tree removal,Phrase
Core – Removal/Arborist,Tree Removal,tree removal,Exact
Core – Removal/Arborist,Tree Removal,tree removal services,Phrase
Core – Removal/Arborist,Tree Removal,tree removal services,Exact
Core – Removal/Arborist,Tree Removal,tree removal cost,Phrase
Core – Removal/Arborist,Tree Removal,tree removal cost,Exact
Core – Removal/Arborist,Tree Removal,tree removal near me,Phrase
Core – Removal/Arborist,Tree Removal,tree removal near me,Exact
Core – Removal/Arborist,Tree Removal,tree cutting wellington,Phrase
Core – Removal/Arborist,Tree Removal,tree cutting wellington,Exact
Core – Removal/Arborist,Tree Removal,tree removal company,Phrase
Core – Removal/Arborist,Tree Removal,tree removal company,Exact
Core – Removal/Arborist,Arborist,arborist wellington,Phrase
Core – Removal/Arborist,Arborist,arborist wellington,Exact
Core – Removal/Arborist,Arborist,arborist,Phrase
Core – Removal/Arborist,Arborist,arborist,Exact
Core – Removal/Arborist,Arborist,arborist near me,Phrase
Core – Removal/Arborist,Arborist,arborist near me,Exact
Core – Removal/Arborist,Arborist,qualified arborist wellington,Phrase
Core – Removal/Arborist,Arborist,qualified arborist wellington,Exact
Core – Removal/Arborist,Arborist,tree surgeon wellington,Phrase
Core – Removal/Arborist,Arborist,tree surgeon wellington,Exact
Core – Removal/Arborist,Arborist,tree services wellington,Phrase
Core – Removal/Arborist,Arborist,tree services wellington,Exact
Core – Removal/Arborist,Arborist,arborist services,Phrase
Core – Removal/Arborist,Arborist,arborist services,Exact
Core – Removal/Arborist,Section Clearing,section clearing wellington,Phrase
Core – Removal/Arborist,Section Clearing,section clearing wellington,Exact
Core – Removal/Arborist,Section Clearing,section clearing,Phrase
Core – Removal/Arborist,Section Clearing,section clearing,Exact
Core – Removal/Arborist,Section Clearing,land clearing wellington,Phrase
Core – Removal/Arborist,Section Clearing,land clearing wellington,Exact
Core – Removal/Arborist,Section Clearing,vegetation clearing wellington,Phrase
Core – Removal/Arborist,Section Clearing,vegetation clearing wellington,Exact
Core – Removal/Arborist,Section Clearing,overgrown section clearing,Phrase
Core – Removal/Arborist,Section Clearing,overgrown section clearing,Exact
Core – Removal/Arborist,Tree Felling,tree felling wellington,Phrase
Core – Removal/Arborist,Tree Felling,tree felling wellington,Exact
Core – Removal/Arborist,Tree Felling,tree felling,Phrase
Core – Removal/Arborist,Tree Felling,tree felling,Exact
Core – Removal/Arborist,Tree Felling,tree fellers wellington,Phrase
Core – Removal/Arborist,Tree Felling,tree fellers wellington,Exact
Core – Removal/Arborist,Tree Felling,large tree removal wellington,Phrase
Core – Removal/Arborist,Tree Felling,large tree removal wellington,Exact
Core – Removal/Arborist,Tree Felling,tree cutting service,Phrase
Core – Removal/Arborist,Tree Felling,tree cutting service,Exact
Pruning/Stump,Tree Pruning,tree pruning wellington,Phrase
Pruning/Stump,Tree Pruning,tree pruning wellington,Exact
Pruning/Stump,Tree Pruning,tree pruning,Phrase
Pruning/Stump,Tree Pruning,tree pruning,Exact
Pruning/Stump,Tree Pruning,tree trimming wellington,Phrase
Pruning/Stump,Tree Pruning,tree trimming wellington,Exact
Pruning/Stump,Tree Pruning,tree trimming,Phrase
Pruning/Stump,Tree Pruning,tree trimming,Exact
Pruning/Stump,Tree Pruning,tree pruning services,Phrase
Pruning/Stump,Tree Pruning,tree pruning services,Exact
Pruning/Stump,Tree Pruning,tree trimming near me,Phrase
Pruning/Stump,Tree Pruning,tree trimming near me,Exact
Pruning/Stump,Crown Reduction,crown reduction wellington,Phrase
Pruning/Stump,Crown Reduction,crown reduction wellington,Exact
Pruning/Stump,Crown Reduction,crown reduction,Phrase
Pruning/Stump,Crown Reduction,crown reduction,Exact
Pruning/Stump,Crown Reduction,crown lifting wellington,Phrase
Pruning/Stump,Crown Reduction,crown lifting wellington,Exact
Pruning/Stump,Crown Reduction,crown thinning wellington,Phrase
Pruning/Stump,Crown Reduction,crown thinning wellington,Exact
Pruning/Stump,Crown Reduction,tree crown reduction,Phrase
Pruning/Stump,Crown Reduction,tree crown reduction,Exact
Pruning/Stump,Stump Grinding,stump grinding wellington,Phrase
Pruning/Stump,Stump Grinding,stump grinding wellington,Exact
Pruning/Stump,Stump Grinding,stump grinding,Phrase
Pruning/Stump,Stump Grinding,stump grinding,Exact
Pruning/Stump,Stump Grinding,stump removal wellington,Phrase
Pruning/Stump,Stump Grinding,stump removal wellington,Exact
Pruning/Stump,Stump Grinding,stump removal,Phrase
Pruning/Stump,Stump Grinding,stump removal,Exact
Pruning/Stump,Stump Grinding,tree stump grinding,Phrase
Pruning/Stump,Stump Grinding,tree stump grinding,Exact
Pruning/Stump,Stump Grinding,stump grinding cost,Phrase
Pruning/Stump,Stump Grinding,stump grinding cost,Exact
Pruning/Stump,Hedge Trimming,hedge trimming wellington,Phrase
Pruning/Stump,Hedge Trimming,hedge trimming wellington,Exact
Pruning/Stump,Hedge Trimming,hedge trimming,Phrase
Pruning/Stump,Hedge Trimming,hedge trimming,Exact
Pruning/Stump,Hedge Trimming,hedge cutting wellington,Phrase
Pruning/Stump,Hedge Trimming,hedge cutting wellington,Exact
Pruning/Stump,Hedge Trimming,hedge trimming services,Phrase
Pruning/Stump,Hedge Trimming,hedge trimming services,Exact
Pruning/Stump,Dead-wooding,dead wooding wellington,Phrase
Pruning/Stump,Dead-wooding,dead wooding wellington,Exact
Pruning/Stump,Dead-wooding,deadwooding,Phrase
Pruning/Stump,Dead-wooding,deadwooding,Exact
Pruning/Stump,Dead-wooding,dead wood removal,Phrase
Pruning/Stump,Dead-wooding,dead wood removal,Exact
Pruning/Stump,Dead-wooding,tree dead wooding,Phrase
Pruning/Stump,Dead-wooding,tree dead wooding,Exact
Emergency/Storm,Emergency Tree Removal,emergency tree removal wellington,Phrase
Emergency/Storm,Emergency Tree Removal,emergency tree removal wellington,Exact
Emergency/Storm,Emergency Tree Removal,emergency tree removal,Phrase
Emergency/Storm,Emergency Tree Removal,emergency tree removal,Exact
Emergency/Storm,Emergency Tree Removal,emergency arborist wellington,Phrase
Emergency/Storm,Emergency Tree Removal,emergency arborist wellington,Exact
Emergency/Storm,Emergency Tree Removal,urgent tree removal,Phrase
Emergency/Storm,Emergency Tree Removal,urgent tree removal,Exact
Emergency/Storm,Emergency Tree Removal,24 hour tree removal,Phrase
Emergency/Storm,Emergency Tree Removal,24 hour tree removal,Exact
Emergency/Storm,Storm Damage,storm damage tree removal,Phrase
Emergency/Storm,Storm Damage,storm damage tree removal,Exact
Emergency/Storm,Storm Damage,storm damage tree wellington,Phrase
Emergency/Storm,Storm Damage,storm damage tree wellington,Exact
Emergency/Storm,Storm Damage,storm tree removal,Phrase
Emergency/Storm,Storm Damage,storm tree removal,Exact
Emergency/Storm,Storm Damage,fallen tree storm damage,Phrase
Emergency/Storm,Storm Damage,fallen tree storm damage,Exact
Emergency/Storm,Dangerous/Fallen Tree,fallen tree removal wellington,Phrase
Emergency/Storm,Dangerous/Fallen Tree,fallen tree removal wellington,Exact
Emergency/Storm,Dangerous/Fallen Tree,fallen tree removal,Phrase
Emergency/Storm,Dangerous/Fallen Tree,fallen tree removal,Exact
Emergency/Storm,Dangerous/Fallen Tree,dangerous tree removal,Phrase
Emergency/Storm,Dangerous/Fallen Tree,dangerous tree removal,Exact
Emergency/Storm,Dangerous/Fallen Tree,tree fallen on house,Phrase
Emergency/Storm,Dangerous/Fallen Tree,tree fallen on house,Exact
Emergency/Storm,Dangerous/Fallen Tree,leaning tree removal,Phrase
Emergency/Storm,Dangerous/Fallen Tree,leaning tree removal,Exact
Brand,Brand Terms,urban tree services,Phrase
Brand,Brand Terms,urban tree services,Exact
Brand,Brand Terms,urban tree services wellington,Phrase
Brand,Brand Terms,urban tree services wellington,Exact
Brand,Brand Terms,urban tree wellington,Phrase
Brand,Brand Terms,urban tree wellington,Exact
Brand,Brand Terms,urban tree services nz,Phrase
Brand,Brand Terms,urban tree services nz,Exact
