Level,Applies To,Keyword,Match Type
Shared List,All Campaigns,job,Broad
Shared List,All Campaigns,jobs,Broad
Shared List,All Campaigns,career,Broad
Shared List,All Campaigns,careers,Broad
Shared List,All Campaigns,hiring,Broad
Shared List,All Campaigns,vacancy,Broad
Shared List,All Campaigns,vacancies,Broad
Shared List,All Campaigns,recruitment,Broad
Shared List,All Campaigns,apprentice,Broad
Shared List,All Campaigns,apprenticeship,Broad
Shared List,All Campaigns,salary,Broad
Shared List,All Campaigns,salaries,Broad
Shared List,All Campaigns,wage,Broad
Shared List,All Campaigns,wages,Broad
Shared List,All Campaigns,employment,Broad
Shared List,All Campaigns,cv,Broad
Shared List,All Campaigns,resume,Broad
Shared List,All Campaigns,course,Broad
Shared List,All Campaigns,courses,Broad
Shared List,All Campaigns,training,Broad
Shared List,All Campaigns,qualification,Broad
Shared List,All Campaigns,diploma,Broad
Shared List,All Campaigns,certificate,Broad
Shared List,All Campaigns,nzqa,Broad
Shared List,All Campaigns,study,Broad
Shared List,All Campaigns,learn,Broad
Shared List,All Campaigns,diy,Broad
Shared List,All Campaigns,firewood,Broad
Shared List,All Campaigns,mulch,Broad
Shared List,All Campaigns,woodchips,Broad
Shared List,All Campaigns,sawdust,Broad
Shared List,All Campaigns,chainsaw,Broad
Shared List,All Campaigns,rental,Broad
Shared List,All Campaigns,volunteer,Broad
Shared List,All Campaigns,meaning,Broad
Shared List,All Campaigns,definition,Broad
Shared List,All Campaigns,wikipedia,Broad
Shared List,All Campaigns,auckland,Broad
Shared List,All Campaigns,christchurch,Broad
Shared List,All Campaigns,hamilton,Broad
Shared List,All Campaigns,tauranga,Broad
Shared List,All Campaigns,dunedin,Broad
Shared List,All Campaigns,napier,Broad
Shared List,All Campaigns,hastings,Broad
Shared List,All Campaigns,nelson,Broad
Shared List,All Campaigns,rotorua,Broad
Shared List,All Campaigns,whangarei,Broad
Shared List,All Campaigns,invercargill,Broad
Shared List,All Campaigns,gisborne,Broad
Shared List,All Campaigns,queenstown,Broad
Shared List,All Campaigns,taupo,Broad
Shared List,All Campaigns,whanganui,Broad
Shared List,All Campaigns,wanganui,Broad
Shared List,All Campaigns,blenheim,Broad
Shared List,All Campaigns,how to,Phrase
Shared List,All Campaigns,do it yourself,Phrase
Shared List,All Campaigns,how to become,Phrase
Shared List,All Campaigns,for sale,Phrase
Shared List,All Campaigns,for hire,Phrase
Shared List,All Campaigns,chainsaw hire,Phrase
Shared List,All Campaigns,chainsaw for sale,Phrase
Shared List,All Campaigns,stump grinder hire,Phrase
Shared List,All Campaigns,stump grinder for sale,Phrase
Shared List,All Campaigns,wood chipper hire,Phrase
Shared List,All Campaigns,wood chipper for sale,Phrase
Shared List,All Campaigns,mulcher hire,Phrase
Shared List,All Campaigns,digger hire,Phrase
Shared List,All Campaigns,equipment hire,Phrase
Shared List,All Campaigns,second hand,Phrase
Shared List,All Campaigns,free firewood,Phrase
Shared List,All Campaigns,free wood,Phrase
Shared List,All Campaigns,free logs,Phrase
Shared List,All Campaigns,free mulch,Phrase
Shared List,All Campaigns,free tree,Phrase
Shared List,All Campaigns,free tree removal,Phrase
Shared List,All Campaigns,wood for sale,Phrase
Shared List,All Campaigns,logs for sale,Phrase
Shared List,All Campaigns,mulch for sale,Phrase
Shared List,All Campaigns,palmerston north,Phrase
Shared List,All Campaigns,new plymouth,Phrase
Shared List,All Campaigns,arborist course,Phrase
Shared List,All Campaigns,arborist training,Phrase
Shared List,All Campaigns,arborist jobs,Phrase
Shared List,All Campaigns,tree removal course,Phrase
Shared List,All Campaigns,level 3,Phrase
Shared List,All Campaigns,level 4,Phrase
